THOOMPUMKAL TRADERS
PUTHENCAVU P O             CHENGANNUR 689123 ALAPPUZHA DIST.
Stock Ledger - Item
Date:,31/12/2024
Show:,All Items
Stock Valuation:,PTS
Item Code:,All Item Code
Item Code,Item Name,Total On Hand Qty,Total SIT Qty,Conversion Unit,Reporting UOM,UOM Description,Total On Hand Value,Total SIT Value,Saleable Stock,Saleable SIT Qty,Saleable Value,Saleable SIT Value,Free OnHand Qty,Free SIT Qty,Damages Qty,Damages Value,Total On Hand Qty_UOM1,Total On Hand Qty_UOM2,Total SIT Qty_UOM1,Total SIT Qty_UOM2,Saleable SIT Qty_UOM1,Saleable SIT Qty_UOM2,Free SIT Qty_UOM1,Free SIT Qty_UOM2
FDB300702GT,DARKFANTASYCHOCOLATESHAKEWBELG180M_B300702GT,24.840000 L,631.800000 L,24.840000 1,24.84,L,0.00,90487.66,23.40,631.80,3351.39,90487.66,0.00,0.00,1.44,206.24,4.600000 CFC,138.000000 PAC,117.000000 CFC,3510.000000 PAC,117.00,3510.00,0.00,0.00
FDB300702J,DARKFANTASYCHOCOLATESHAKEWBELG180M_FDB300702,0.360000 L,1015.200000 L,0.360000 1,0.36,L,0.00,171863.16,0.00,1015.20,0.00,171863.16,0.00,0.00,0.36,60.94,0.066667 CFC,2.000000 PAC,188.000000 CFC,5640.000000 PAC,188.00,5640.00,0.00,0.00
FDB300700J,DARKFANTASYCHOCOLATESHAKEWBELG180M_FDB300700,0.000000 L,0.000000 L,0.000000 1,0.00,L,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FDB305500A,SUNFEAST ROSE FLAVOUREDMILK 180_FDB305500A,1.440000 L,48.600000 L,1.440000 1,1.44,L,0.00,6170.97,1.44,48.60,182.84,6170.97,0.00,0.00,0.00,0.00,0.266667 CFC,8.000000 PAC,9.000000 CFC,270.000000 PAC,9.00,270.00,0.00,0.00
FDB303000,SUNFEAST BADAM MILK 180ML TETRAPK_FDB303000,0.000000 L,0.000000 L,0.000000 1,0.00,L,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FDB303001A,SUNFEAST BADAMMILK 180ML TETRAPK_FDB303001A,0.900000 L,59.400000 L,0.900000 1,0.90,L,0.00,7542.30,0.90,59.40,114.28,7542.30,0.00,0.00,0.00,0.00,0.166667 CFC,5.000000 PAC,11.000000 CFC,330.000000 PAC,11.00,330.00,0.00,0.00
FDB300100J,SUNFEAST BADAM MILK SHAKE 180MLNEW_FDB300100,0.000000 L,0.000000 L,0.000000 1,0.00,L,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FDB300101J,SUNFEAST BADAM MILK SHAKE 180MLNEW_FDB300101,2.880000 L,221.400000 L,2.880000 1,2.88,L,0.00,36812.07,0.00,221.40,0.00,36812.07,0.00,0.00,2.88,478.86,0.533333 CFC,16.000000 PAC,41.000000 CFC,1230.000000 PAC,41.00,1230.00,0.00,0.00
FDB305300A,SUNFEAST CHOCONUT SHAKE 180_FDB305300A,0.000000 L,10.800000 L,0.000000 1,0.00,L,0.00,1508.38,0.00,10.80,0.00,1508.38,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,2.000000 CFC,60.000000 PAC,2.00,60.00,0.00,0.00
FDB100207J,WONDERZ MILK FRT N MILK MGO 200 ML_FDB100207,0.000000 L,0.000000 L,0.000000 1,0.00,L,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
