THOOMPUMKAL TRADERS
PUTHENCAVU P O             CHENGANNUR 689123 ALAPPUZHA DIST.
Stock & Sales - Item
Manufacturer:,All Manufacturers
Item Code:,All Item Code
Units:,Base UOM
From Date:,01/01/2024
To Date:,31/12/2024
Item Code,Item Name,Category Name,Sales UOM,Total Opening Quantity,Saleable Opening Quantity,Free Opening Quantity,Damage Opening Quantity,(rs.) Opening Value,Purchase,Free Purchase,Total Sales Return,Sales Return Saleable,Sales Return Damages,Total Issues,Saleable Issues,Free Issues,Purchase Return,Adjustments,Stock Transfer Out,Stock Transfer In,Stock Destruction,Total On Hand Qty,On Hand Saleable Qty,On Hand Free Qty,On Hand Damage Qty,(rs.) On Hand Value,Opening Date,Total Opening Quantity,Saleable Opening Quantity,Free Opening Quantity,Damage Opening Quantity,(rs.) Opening Value,Purchase,Free Purchase,Total Sales Return,Sales Return Saleable,Sales Return Damages,Issues,Saleable Issues,Free Issues,Purchase Return,Adjustments,Stock Transfer Out,Stock Transfer In,Stock Destruction,On Hand Qty,On Hand Saleable Qty,On Hand Free Qty,On Hand Damage Qty,(rs.) On Hand Value
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,01/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,02/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,03/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,04/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,05/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,06/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,07/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,08/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,09/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
11424,MD 20 Temple Gold_11424,MD 18 TEMPLE GOLD,M_S,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03,10/01/2024,2.76,2.76,0.00,0.00,2389.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,0.00,0.00,2389.03
